,age_grp,sex,ethnicity,inc_cob_participant2,yearssinceentry_grp,prevbcg,reasonforscreening,pop,tb,ltbi,ltbi OR tb != 0
38,"(15,35]",Female,Black African or Caribbean,100-300,"(5,10]",Yes,Contact,23,1,8,1
39,"(15,35]",Female,Black African or Caribbean,100-300,"(5,10]",Yes,Migrant,4,0,1,1
40,"(15,35]",Female,Black African or Caribbean,100-300,NA,Yes,Contact,1,0,0,0
41,"(15,35]",Female,Black African or Caribbean,100-300,NA,Yes,Migrant,2,0,0,0
42,"(15,35]",Female,Black African or Caribbean,41-100,"(0,5]",NA,Contact,2,0,1,1
43,"(15,35]",Female,Black African or Caribbean,41-100,"(0,5]",NA,Migrant,7,0,1,1
44,"(15,35]",Female,Black African or Caribbean,41-100,"(0,5]",No,Contact,2,0,1,1
45,"(15,35]",Female,Black African or Caribbean,41-100,"(0,5]",Yes,Contact,7,0,1,1
46,"(15,35]",Female,Black African or Caribbean,41-100,"(0,5]",Yes,Migrant,7,0,2,1
47,"(15,35]",Female,Black African or Caribbean,41-100,"(10,100]",No,Contact,2,0,0,0
48,"(15,35]",Female,Black African or Caribbean,41-100,"(10,100]",Yes,Contact,3,0,0,0
49,"(15,35]",Female,Black African or Caribbean,41-100,"(5,10]",NA,Contact,1,0,0,0
50,"(15,35]",Female,Black African or Caribbean,41-100,"(5,10]",No,Contact,2,0,1,1
51,"(15,35]",Female,Black African or Caribbean,41-100,"(5,10]",Yes,Contact,3,0,2,1
52,"(15,35]",Female,Black African or Caribbean,NA,"(0,5]",NA,Contact,2,0,2,1
53,"(15,35]",Female,Black African or Caribbean,NA,"(0,5]",NA,Migrant,2,0,2,1
54,"(15,35]",Female,Black African or Caribbean,NA,"(0,5]",No,Contact,1,0,1,1
55,"(15,35]",Female,Black African or Caribbean,NA,"(0,5]",Yes,Contact,4,0,4,1
56,"(15,35]",Female,Black African or Caribbean,NA,"(0,5]",Yes,Migrant,3,0,1,1
57,"(15,35]",Female,Black African or Caribbean,NA,"(10,100]",NA,Contact,1,0,1,1
58,"(15,35]",Female,Black African or Caribbean,NA,"(10,100]",No,Contact,4,0,4,1
59,"(15,35]",Female,Black African or Caribbean,NA,"(10,100]",Yes,Contact,4,0,4,1
60,"(15,35]",Female,Black African or Caribbean,NA,"(5,10]",Yes,Contact,4,1,3,1
61,"(15,35]",Female,Black African or Caribbean,NA,NA,NA,Contact,6,0,1,1
62,"(15,35]",Female,Black African or Caribbean,NA,NA,No,Contact,16,2,4,1
63,"(15,35]",Female,Black African or Caribbean,NA,NA,Yes,Contact,55,0,9,1
64,"(15,35]",Female,Black African or Caribbean,NA,NA,Yes,Migrant,2,0,0,0
65,"(15,35]",Female,Other,<40,"(0,5]",NA,Contact,2,0,1,1
66,"(15,35]",Female,Other,<40,"(0,5]",NA,Migrant,1,0,0,0
67,"(15,35]",Female,Other,<40,"(0,5]",No,Contact,2,0,0,0
68,"(15,35]",Female,Other,<40,"(0,5]",No,Migrant,1,0,0,0
69,"(15,35]",Female,Other,<40,"(0,5]",Yes,Migrant,1,0,0,0
70,"(15,35]",Female,Other,<40,"(10,100]",No,Contact,1,0,0,0
71,"(15,35]",Female,Other,<40,"(10,100]",Yes,Contact,6,0,1,1
72,"(15,35]",Female,Other,<40,"(5,10]",Yes,Contact,5,0,2,1
73,"(15,35]",Female,Other,>300,"(0,5]",NA,Contact,1,0,0,0
74,"(15,35]",Female,Other,>300,"(0,5]",NA,Migrant,2,0,0,0
75,"(15,35]",Female,Other,>300,"(0,5]",No,Migrant,1,0,1,1
76,"(15,35]",Female,Other,>300,"(0,5]",Yes,Contact,5,0,0,0
77,"(15,35]",Female,Other,>300,"(0,5]",Yes,Migrant,12,0,2,1
78,"(15,35]",Female,Other,>300,"(10,100]",Yes,Contact,4,0,2,1
79,"(15,35]",Female,Other,>300,"(5,10]",NA,Contact,1,0,0,0
80,"(15,35]",Female,Other,>300,"(5,10]",No,Contact,1,0,0,0
81,"(15,35]",Female,Other,>300,"(5,10]",Yes,Contact,5,0,2,1
82,"(15,35]",Female,Other,>300,"(5,10]",Yes,Migrant,1,0,0,0
83,"(15,35]",Female,Other,100-300,"(0,5]",NA,Contact,3,1,2,1
84,"(15,35]",Female,Other,100-300,"(0,5]",NA,Migrant,6,2,4,1
85,"(15,35]",Female,Other,100-300,"(0,5]",No,Contact,6,0,3,1
86,"(15,35]",Female,Other,100-300,"(0,5]",No,Migrant,6,0,2,1
87,"(15,35]",Female,Other,100-300,"(0,5]",Yes,Contact,33,1,10,1
88,"(15,35]",Female,Other,100-300,"(0,5]",Yes,Migrant,20,0,3,1
89,"(15,35]",Female,Other,100-300,"(10,100]",NA,Contact,2,0,1,1
90,"(15,35]",Female,Other,100-300,"(10,100]",No,Contact,2,0,1,1
91,"(15,35]",Female,Other,100-300,"(10,100]",No,Migrant,3,0,2,1
92,"(15,35]",Female,Other,100-300,"(10,100]",Yes,Contact,20,0,2,1
93,"(15,35]",Female,Other,100-300,"(10,100]",Yes,Migrant,2,0,0,0
94,"(15,35]",Female,Other,100-300,"(5,10]",NA,Migrant,1,0,1,1
95,"(15,35]",Female,Other,100-300,"(5,10]",No,Contact,1,0,0,0
96,"(15,35]",Female,Other,100-300,"(5,10]",No,Migrant,1,0,1,1
97,"(15,35]",Female,Other,100-300,"(5,10]",Yes,Contact,21,0,7,1
98,"(15,35]",Female,Other,100-300,"(5,10]",Yes,Migrant,4,0,0,0
99,"(15,35]",Female,Other,41-100,"(0,5]",NA,Contact,3,0,0,0
100,"(15,35]",Female,Other,41-100,"(0,5]",NA,Migrant,5,0,0,0
101,"(15,35]",Female,Other,41-100,"(0,5]",No,Contact,1,0,0,0
102,"(15,35]",Female,Other,41-100,"(0,5]",No,Migrant,11,0,3,1
103,"(15,35]",Female,Other,41-100,"(0,5]",Yes,Contact,16,0,1,1
104,"(15,35]",Female,Other,41-100,"(0,5]",Yes,Migrant,37,0,5,1
105,"(15,35]",Female,Other,41-100,"(10,100]",NA,Contact,2,0,0,0
106,"(15,35]",Female,Other,41-100,"(10,100]",No,Contact,1,0,0,0
107,"(15,35]",Female,Other,41-100,"(10,100]",Yes,Contact,5,0,0,0
108,"(15,35]",Female,Other,41-100,"(5,10]",NA,Contact,2,1,1,1
109,"(15,35]",Female,Other,41-100,"(5,10]",No,Migrant,1,0,0,0
110,"(15,35]",Female,Other,41-100,"(5,10]",Yes,Contact,11,1,2,1
111,"(15,35]",Female,Other,41-100,"(5,10]",Yes,Migrant,2,0,0,0
112,"(15,35]",Female,Other,41-100,NA,NA,Migrant,1,0,0,0
113,"(15,35]",Female,Other,NA,"(0,5]",NA,Contact,1,0,1,1
114,"(15,35]",Female,Other,NA,"(0,5]",No,Contact,3,0,3,1
115,"(15,35]",Female,Other,NA,"(0,5]",No,Migrant,2,0,2,1
116,"(15,35]",Female,Other,NA,"(0,5]",Yes,Contact,10,0,10,1
117,"(15,35]",Female,Other,NA,"(10,100]",Yes,Contact,3,0,1,1
118,"(15,35]",Female,Other,NA,"(5,10]",NA,Contact,1,0,1,1
119,"(15,35]",Female,Other,NA,"(5,10]",No,Contact,2,0,2,1
120,"(15,35]",Female,Other,NA,"(5,10]",Yes,Contact,3,0,3,1
121,"(15,35]",Female,Other,NA,NA,NA,Contact,7,0,0,0
122,"(15,35]",Female,Other,NA,NA,No,Contact,14,0,2,1
123,"(15,35]",Female,Other,NA,NA,No,Migrant,4,0,0,0
124,"(15,35]",Female,Other,NA,NA,Yes,Contact,55,2,9,1
125,"(15,35]",Female,Other,NA,NA,Yes,Migrant,4,0,0,0
126,"(15,35]",Female,South Asian,<40,"(0,5]",NA,Contact,1,0,0,0
127,"(15,35]",Female,South Asian,<40,"(0,5]",NA,Migrant,1,0,0,0
128,"(15,35]",Female,South Asian,<40,"(0,5]",Yes,Contact,2,0,0,0
129,"(15,35]",Female,South Asian,<40,"(10,100]",NA,Contact,1,0,0,0
130,"(15,35]",Female,South Asian,<40,"(10,100]",No,Contact,1,0,0,0
131,"(15,35]",Female,South Asian,<40,"(10,100]",Yes,Contact,2,0,0,0
132,"(15,35]",Female,South Asian,<40,"(5,10]",NA,Contact,1,0,1,1
133,"(15,35]",Female,South Asian,<40,"(5,10]",No,Contact,1,0,1,1
134,"(15,35]",Female,South Asian,<40,"(5,10]",Yes,Contact,1,0,0,0
135,"(15,35]",Female,South Asian,<40,NA,NA,Contact,1,0,0,0
136,"(15,35]",Female,South Asian,<40,NA,No,Contact,1,0,1,1
137,"(15,35]",Female,South Asian,>300,"(10,100]",Yes,Migrant,1,0,0,0
138,"(15,35]",Female,South Asian,100-300,"(0,5]",NA,Contact,29,0,7,1
139,"(15,35]",Female,South Asian,100-300,"(0,5]",NA,Migrant,118,0,27,1
140,"(15,35]",Female,South Asian,100-300,"(0,5]",No,Contact,25,0,7,1
141,"(15,35]",Female,South Asian,100-300,"(0,5]",No,Migrant,162,3,43,1
142,"(15,35]",Female,South Asian,100-300,"(0,5]",Yes,Contact,117,4,19,1
143,"(15,35]",Female,South Asian,100-300,"(0,5]",Yes,Migrant,381,4,81,1
144,"(15,35]",Female,South Asian,100-300,"(10,100]",NA,Contact,7,1,3,1
145,"(15,35]",Female,South Asian,100-300,"(10,100]",NA,Migrant,3,0,0,0
146,"(15,35]",Female,South Asian,100-300,"(10,100]",No,Contact,5,0,0,0
147,"(15,35]",Female,South Asian,100-300,"(10,100]",No,Migrant,4,0,1,1
148,"(15,35]",Female,South Asian,100-300,"(10,100]",Yes,Contact,49,0,5,1
149,"(15,35]",Female,South Asian,100-300,"(10,100]",Yes,Migrant,17,0,4,1
150,"(15,35]",Female,South Asian,100-300,"(5,10]",NA,Contact,12,0,6,1
151,"(15,35]",Female,South Asian,100-300,"(5,10]",NA,Migrant,11,0,2,1
152,"(15,35]",Female,South Asian,100-300,"(5,10]",No,Contact,3,0,1,1
153,"(15,35]",Female,South Asian,100-300,"(5,10]",No,Migrant,5,0,0,0
154,"(15,35]",Female,South Asian,100-300,"(5,10]",Yes,Contact,51,5,16,1
155,"(15,35]",Female,South Asian,100-300,"(5,10]",Yes,Migrant,33,0,5,1
156,"(15,35]",Female,South Asian,100-300,NA,NA,Migrant,3,0,1,1
157,"(15,35]",Female,South Asian,100-300,NA,No,Migrant,4,0,0,0
158,"(15,35]",Female,South Asian,100-300,NA,Yes,Contact,5,0,0,0
159,"(15,35]",Female,South Asian,100-300,NA,Yes,Migrant,9,1,3,1
160,"(15,35]",Female,South Asian,41-100,"(0,5]",Yes,Migrant,1,0,0,0
161,"(15,35]",Female,South Asian,NA,"(0,5]",NA,Contact,2,0,2,1
162,"(15,35]",Female,South Asian,NA,"(0,5]",No,Contact,5,0,5,1
163,"(15,35]",Female,South Asian,NA,"(0,5]",Yes,Contact,13,1,12,1
164,"(15,35]",Female,South Asian,NA,"(0,5]",Yes,Migrant,8,0,5,1
165,"(15,35]",Female,South Asian,NA,"(10,100]",Yes,Contact,5,0,4,1
166,"(15,35]",Female,South Asian,NA,"(5,10]",No,Contact,3,0,2,1
167,"(15,35]",Female,South Asian,NA,"(5,10]",Yes,Contact,7,1,5,1
168,"(15,35]",Female,South Asian,NA,"(5,10]",Yes,Migrant,1,0,1,1
169,"(15,35]",Female,South Asian,NA,NA,NA,Contact,23,0,2,1
170,"(15,35]",Female,South Asian,NA,NA,NA,Migrant,2,0,0,0
171,"(15,35]",Female,South Asian,NA,NA,No,Contact,14,0,1,1
172,"(15,35]",Female,South Asian,NA,NA,No,Migrant,5,0,2,1
173,"(15,35]",Female,South Asian,NA,NA,Yes,Contact,153,3,27,1
174,"(15,35]",Female,South Asian,NA,NA,Yes,Migrant,22,0,2,1
175,"(15,35]",Female,White,<40,"(0,5]",NA,Contact,3,0,1,1
176,"(15,35]",Female,White,<40,"(0,5]",NA,Migrant,1,0,0,0
177,"(15,35]",Female,White,<40,"(0,5]",No,Contact,3,0,0,0
178,"(15,35]",Female,White,<40,"(0,5]",No,Migrant,2,0,0,0
179,"(15,35]",Female,White,<40,"(0,5]",Yes,Contact,20,0,4,1
180,"(15,35]",Female,White,<40,"(0,5]",Yes,Migrant,1,0,0,0
181,"(15,35]",Female,White,<40,"(10,100]",NA,Contact,1,0,0,0
182,"(15,35]",Female,White,<40,"(10,100]",Yes,Contact,9,1,2,1
183,"(15,35]",Female,White,<40,"(5,10]",NA,Contact,1,0,1,1
184,"(15,35]",Female,White,<40,"(5,10]",No,Contact,4,0,0,0
185,"(15,35]",Female,White,<40,"(5,10]",Yes,Contact,22,0,1,1
186,"(15,35]",Female,White,<40,"(5,10]",Yes,Migrant,1,0,0,0
187,"(15,35]",Female,White,<40,NA,No,Contact,1,0,0,0
188,"(15,35]",Female,White,<40,NA,Yes,Contact,1,0,0,0
189,"(15,35]",Female,White,>300,"(0,5]",NA,Contact,1,0,0,0
190,"(15,35]",Female,White,>300,"(0,5]",NA,Migrant,1,0,0,0
191,"(15,35]",Female,White,>300,"(0,5]",No,Migrant,1,0,0,0
192,"(15,35]",Female,White,>300,"(0,5]",Yes,Migrant,2,0,1,1
193,"(15,35]",Female,White,100-300,"(0,5]",Yes,Contact,1,0,1,1
194,"(15,35]",Female,White,41-100,"(0,5]",NA,Contact,2,0,1,1
195,"(15,35]",Female,White,41-100,"(0,5]",NA,Migrant,6,0,1,1
196,"(15,35]",Female,White,41-100,"(0,5]",No,Contact,2,0,1,1
197,"(15,35]",Female,White,41-100,"(0,5]",No,Migrant,11,0,0,0
198,"(15,35]",Female,White,41-100,"(0,5]",Yes,Contact,19,0,4,1
199,"(15,35]",Female,White,41-100,"(0,5]",Yes,Migrant,62,0,8,1
200,"(15,35]",Female,White,41-100,"(10,100]",NA,Contact,1,0,0,0
201,"(15,35]",Female,White,41-100,"(10,100]",Yes,Contact,2,0,1,1
202,"(15,35]",Female,White,41-100,"(5,10]",NA,Contact,1,0,0,0
203,"(15,35]",Female,White,41-100,"(5,10]",NA,Migrant,2,0,0,0
204,"(15,35]",Female,White,41-100,"(5,10]",No,Migrant,3,0,0,0
205,"(15,35]",Female,White,41-100,"(5,10]",Yes,Contact,7,0,2,1
206,"(15,35]",Female,White,41-100,"(5,10]",Yes,Migrant,7,0,1,1
207,"(15,35]",Female,White,NA,"(0,5]",NA,Contact,2,0,2,1
208,"(15,35]",Female,White,NA,"(0,5]",No,Contact,2,0,2,1
209,"(15,35]",Female,White,NA,"(0,5]",Yes,Contact,4,0,4,1
210,"(15,35]",Female,White,NA,"(10,100]",Yes,Contact,1,0,1,1
211,"(15,35]",Female,White,NA,"(5,10]",Yes,Contact,4,0,3,1
212,"(15,35]",Female,White,NA,NA,NA,Contact,8,0,4,1
213,"(15,35]",Female,White,NA,NA,NA,Migrant,1,0,0,0
214,"(15,35]",Female,White,NA,NA,No,Contact,29,0,4,1
215,"(15,35]",Female,White,NA,NA,Yes,Contact,85,1,7,1
216,"(15,35]",Female,White,NA,NA,Yes,Migrant,2,0,0,0
217,"(15,35]",Male,Black African or Caribbean,<40,"(0,5]",NA,Contact,1,0,0,0
218,"(15,35]",Male,Black African or Caribbean,<40,"(0,5]",Yes,Contact,3,0,1,1
219,"(15,35]",Male,Black African or Caribbean,<40,"(10,100]",No,Contact,2,0,1,1
220,"(15,35]",Male,Black African or Caribbean,<40,"(10,100]",No,Migrant,1,0,0,0
221,"(15,35]",Male,Black African or Caribbean,<40,"(10,100]",Yes,Contact,7,0,1,1
222,"(15,35]",Male,Black African or Caribbean,<40,"(5,10]",NA,Contact,1,0,0,0
223,"(15,35]",Male,Black African or Caribbean,<40,"(5,10]",No,Contact,1,0,0,0
224,"(15,35]",Male,Black African or Caribbean,<40,"(5,10]",Yes,Contact,3,0,1,1
225,"(15,35]",Male,Black African or Caribbean,<40,NA,NA,Contact,1,0,1,1
226,"(15,35]",Male,Black African or Caribbean,<40,NA,Yes,Contact,2,0,0,0
227,"(15,35]",Male,Black African or Caribbean,>300,"(0,5]",NA,Contact,3,0,1,1
228,"(15,35]",Male,Black African or Caribbean,>300,"(0,5]",NA,Migrant,2,0,0,0
229,"(15,35]",Male,Black African or Caribbean,>300,"(0,5]",No,Contact,1,0,0,0
230,"(15,35]",Male,Black African or Caribbean,>300,"(0,5]",No,Migrant,4,0,2,1
231,"(15,35]",Male,Black African or Caribbean,>300,"(0,5]",Yes,Contact,7,0,3,1
232,"(15,35]",Male,Black African or Caribbean,>300,"(0,5]",Yes,Migrant,21,0,5,1
233,"(15,35]",Male,Black African or Caribbean,>300,"(10,100]",NA,Contact,3,0,1,1
234,"(15,35]",Male,Black African or Caribbean,>300,"(10,100]",NA,Migrant,1,0,1,1
235,"(15,35]",Male,Black African or Caribbean,>300,"(10,100]",Yes,Contact,11,1,4,1
236,"(15,35]",Male,Black African or Caribbean,>300,"(5,10]",NA,Contact,1,0,1,1
237,"(15,35]",Male,Black African or Caribbean,>300,"(5,10]",No,Contact,1,0,0,0
238,"(15,35]",Male,Black African or Caribbean,>300,"(5,10]",Yes,Contact,3,0,1,1
239,"(15,35]",Male,Black African or Caribbean,>300,"(5,10]",Yes,Migrant,1,0,0,0
240,"(15,35]",Male,Black African or Caribbean,>300,NA,NA,Contact,1,0,0,0
241,"(15,35]",Male,Black African or Caribbean,>300,NA,Yes,Migrant,1,0,0,0
242,"(15,35]",Male,Black African or Caribbean,100-300,"(0,5]",NA,Contact,1,0,0,0
243,"(15,35]",Male,Black African or Caribbean,100-300,"(0,5]",NA,Migrant,8,0,1,1
244,"(15,35]",Male,Black African or Caribbean,100-300,"(0,5]",No,Contact,4,0,1,1
245,"(15,35]",Male,Black African or Caribbean,100-300,"(0,5]",No,Migrant,15,1,5,1
246,"(15,35]",Male,Black African or Caribbean,100-300,"(0,5]",Yes,Contact,10,0,3,1
247,"(15,35]",Male,Black African or Caribbean,100-300,"(0,5]",Yes,Migrant,33,1,11,1
248,"(15,35]",Male,Black African or Caribbean,100-300,"(10,100]",NA,Contact,2,0,2,1
249,"(15,35]",Male,Black African or Caribbean,100-300,"(10,100]",NA,Migrant,1,0,0,0
250,"(15,35]",Male,Black African or Caribbean,100-300,"(10,100]",No,Contact,2,0,0,0
251,"(15,35]",Male,Black African or Caribbean,100-300,"(10,100]",Yes,Contact,31,0,10,1
252,"(15,35]",Male,Black African or Caribbean,100-300,"(10,100]",Yes,Migrant,3,0,0,0
253,"(15,35]",Male,Black African or Caribbean,100-300,"(5,10]",NA,Contact,1,0,1,1
254,"(15,35]",Male,Black African or Caribbean,100-300,"(5,10]",NA,Migrant,2,0,0,0
255,"(15,35]",Male,Black African or Caribbean,100-300,"(5,10]",No,Contact,2,0,0,0
256,"(15,35]",Male,Black African or Caribbean,100-300,"(5,10]",No,Migrant,2,0,1,1
257,"(15,35]",Male,Black African or Caribbean,100-300,"(5,10]",Yes,Contact,11,1,3,1
258,"(15,35]",Male,Black African or Caribbean,100-300,"(5,10]",Yes,Migrant,1,0,1,1
259,"(15,35]",Male,Black African or Caribbean,41-100,"(0,5]",NA,Contact,2,0,0,0
260,"(15,35]",Male,Black African or Caribbean,41-100,"(0,5]",NA,Migrant,6,0,3,1
261,"(15,35]",Male,Black African or Caribbean,41-100,"(0,5]",No,Migrant,1,0,1,1
262,"(15,35]",Male,Black African or Caribbean,41-100,"(0,5]",Yes,Contact,6,0,2,1
263,"(15,35]",Male,Black African or Caribbean,41-100,"(0,5]",Yes,Migrant,11,0,4,1
264,"(15,35]",Male,Black African or Caribbean,41-100,"(10,100]",Yes,Contact,2,0,0,0
265,"(15,35]",Male,Black African or Caribbean,41-100,"(5,10]",NA,Contact,1,0,0,0
266,"(15,35]",Male,Black African or Caribbean,41-100,"(5,10]",No,Contact,2,0,2,1
267,"(15,35]",Male,Black African or Caribbean,41-100,"(5,10]",No,Migrant,1,0,0,0
268,"(15,35]",Male,Black African or Caribbean,41-100,"(5,10]",Yes,Contact,5,0,3,1
269,"(15,35]",Male,Black African or Caribbean,41-100,"(5,10]",Yes,Migrant,1,0,0,0
270,"(15,35]",Male,Black African or Caribbean,NA,"(0,5]",NA,Contact,1,0,1,1
271,"(15,35]",Male,Black African or Caribbean,NA,"(0,5]",No,Contact,1,0,1,1
272,"(15,35]",Male,Black African or Caribbean,NA,"(0,5]",Yes,Contact,7,0,6,1
273,"(15,35]",Male,Black African or Caribbean,NA,"(0,5]",Yes,Migrant,1,0,0,0
274,"(15,35]",Male,Black African or Caribbean,NA,"(10,100]",NA,Contact,2,0,2,1
275,"(15,35]",Male,Black African or Caribbean,NA,"(10,100]",No,Contact,1,0,1,1
276,"(15,35]",Male,Black African or Caribbean,NA,"(10,100]",Yes,Contact,5,0,5,1
277,"(15,35]",Male,Black African or Caribbean,NA,"(10,100]",Yes,Migrant,1,0,1,1
278,"(15,35]",Male,Black African or Caribbean,NA,"(5,10]",Yes,Contact,3,0,3,1
279,"(15,35]",Male,Black African or Caribbean,NA,NA,NA,Contact,14,0,2,1
280,"(15,35]",Male,Black African or Caribbean,NA,NA,NA,Migrant,1,0,0,0
281,"(15,35]",Male,Black African or Caribbean,NA,NA,No,Contact,11,1,2,1
282,"(15,35]",Male,Black African or Caribbean,NA,NA,No,Migrant,1,0,0,0
283,"(15,35]",Male,Black African or Caribbean,NA,NA,Yes,Contact,38,1,8,1
284,"(15,35]",Male,Black African or Caribbean,NA,NA,Yes,Migrant,3,0,2,1
285,"(15,35]",Male,Other,<40,"(0,5]",NA,Contact,2,0,1,1
286,"(15,35]",Male,Other,<40,"(0,5]",NA,Migrant,1,0,0,0
287,"(15,35]",Male,Other,<40,"(0,5]",No,Contact,2,0,0,0
288,"(15,35]",Male,Other,<40,"(0,5]",Yes,Contact,5,0,0,0
289,"(15,35]",Male,Other,<40,"(0,5]",Yes,Migrant,2,0,0,0
290,"(15,35]",Male,Other,<40,"(10,100]",NA,Contact,2,0,1,1
291,"(15,35]",Male,Other,<40,"(10,100]",Yes,Contact,3,0,0,0
292,"(15,35]",Male,Other,<40,"(5,10]",NA,Contact,1,0,0,0
293,"(15,35]",Male,Other,<40,"(5,10]",No,Contact,3,0,0,0
294,"(15,35]",Male,Other,<40,"(5,10]",Yes,Contact,5,0,2,1
295,"(15,35]",Male,Other,<40,"(5,10]",Yes,Migrant,1,0,0,0
296,"(15,35]",Male,Other,<40,NA,Yes,Contact,1,0,1,1
297,"(15,35]",Male,Other,>300,"(0,5]",No,Contact,1,0,1,1
298,"(15,35]",Male,Other,>300,"(0,5]",Yes,Contact,5,0,2,1
299,"(15,35]",Male,Other,>300,"(0,5]",Yes,Migrant,2,0,2,1
300,"(15,35]",Male,Other,>300,"(10,100]",Yes,Contact,1,0,1,1
301,"(15,35]",Male,Other,>300,"(5,10]",NA,Contact,1,0,1,1
302,"(15,35]",Male,Other,>300,"(5,10]",No,Migrant,1,0,1,1
303,"(15,35]",Male,Other,>300,"(5,10]",Yes,Contact,5,1,2,1
304,"(15,35]",Male,Other,>300,NA,Yes,Migrant,1,0,1,1
305,"(15,35]",Male,Other,100-300,"(0,5]",NA,Contact,6,0,1,1
306,"(15,35]",Male,Other,100-300,"(0,5]",NA,Migrant,2,0,1,1
307,"(15,35]",Male,Other,100-300,"(0,5]",No,Contact,5,0,2,1
308,"(15,35]",Male,Other,100-300,"(0,5]",No,Migrant,9,0,3,1
309,"(15,35]",Male,Other,100-300,"(0,5]",Yes,Contact,40,1,18,1
310,"(15,35]",Male,Other,100-300,"(0,5]",Yes,Migrant,11,0,2,1
311,"(15,35]",Male,Other,100-300,"(10,100]",NA,Contact,4,0,1,1
312,"(15,35]",Male,Other,100-300,"(10,100]",NA,Migrant,1,0,0,0
313,"(15,35]",Male,Other,100-300,"(10,100]",No,Contact,2,0,0,0
314,"(15,35]",Male,Other,100-300,"(10,100]",No,Migrant,1,0,0,0
315,"(15,35]",Male,Other,100-300,"(10,100]",Yes,Contact,12,0,3,1
316,"(15,35]",Male,Other,100-300,"(10,100]",Yes,Migrant,1,0,0,0
317,"(15,35]",Male,Other,100-300,"(5,10]",NA,Contact,1,0,0,0
318,"(15,35]",Male,Other,100-300,"(5,10]",No,Contact,4,0,3,1
